X-axis,Y-axis
50,0
50,0.5
50,1
50,1.5
50,2
50,2.5
50,3
50,3.5
50,4
50,4.5
50,5
50,5.5
50,6
50,6.5
50,7
50,7.5
50,8
50,8.5
50,9
50,9.5
50,10
50,10.5
50,11
50,11.5
50,12
50,12.5
50,13
50,13.5
50,14
50,14.5
50,15
50,15.5
50,16
50,16.5
50,17
50,17.5
50,18
50,18.5
50,19
50,19.5
50,20
50,20.5
50,21
50,21.5
50,22
50,22.5
50,23
50,23.5
50,24
50,24.5
50,25
50,25.5
50,26
50,26.5
50,27
50,27.5
50,28
50,28.5
50,29
50,29.5
50,30
50,30.5
50,31
50,31.5
50,32
50,32.5
50,33
50,33.5
50,34
50,34.5
50,35
50,35.5
50,36
50,36.5
50,37
50,37.5
50,38
50,38.5
50,39
50,39.5
50,40
50,40.5
50,41
50,41.5
50,42
50,42.5
50,43
50,43.5
50,44
50,44.5
50,45
50,45.5
50,46
50,46.5
50,47
50,47.5
50,48
50,48.5
50,49
50,49.5